<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.01.18	149.43	151.56	149.43	149.79	75	55	1
2021.01.19	150.42	153.02	149.74	150.21	119	115	1
2021.01.20	149.69	149.95	147.97	148.23	118	131	1
2021.01.21	148.18	151.46	148.13	150.78	158	238	1
2021.01.22	149.48	150.21	148.18	148.49	132	214	1
2021.01.26	148.44	150.99	148.39	148.91	158	269	1
2021.01.27	148.85	150.26	148.18	149.84	108	279	1
2021.01.28	149.06	149.43	147.87	147.87	131	145	1
2021.01.29	147.87	148.49	146.04	148.28	95	216	1
2021.02.01	148.91	150.47	148.49	149.69	132	140	1
2021.02.02	148.54	150.16	147.87	147.87	119	137	1
2021.02.03	148.07	148.49	146.82	147.87	144	154	1
2021.02.04	146.98	148.44	145.47	148.44	135	178	1
2021.02.05	148.54	149.74	147.81	148.39	122	136	1
2021.02.08	148.33	149.06	147.19	148.39	43	57	1
2021.02.09	147.87	148.07	146.51	147.03	104	128	1
2021.02.10	146.62	146.77	143.49	143.70	143	163	1
2021.02.11	144.50	146.05	144.45	145.70	62	119	1
2021.02.12	145.60	147.00	144.75	145.90	30	33	1
2021.02.17	148.30	150.10	148.10	149.45	102	174	1
2021.02.18	150.10	151.80	149.80	151.50	258	323	1
2021.02.19	151.30	151.90	150.80	151.35	102	126	1
2021.02.22	149.65	158.00	149.15	157.05	432	570	1
2021.02.23	157.00	161.40	156.50	160.25	262	440	1
2021.02.24	161.20	163.20	159.00	159.95	224	501	1
2021.02.25	161.70	164.10	160.90	162.85	141	168	1
2021.02.26	160.05	162.85	159.60	162.00	148	441	1
2021.03.01	161.00	164.00	159.15	160.50	257	379	1
2021.03.02	160.00	160.00	157.10	157.50	164	212	1
2021.03.03	158.90	158.90	156.10	156.45	111	152	1
2021.03.04	157.55	158.00	154.70	155.70	131	206	1
2021.03.05	154.70	155.50	153.00	153.00	168	294	1
2021.03.08	153.55	156.00	152.60	153.10	92	153	1
2021.03.09	152.20	156.00	150.15	155.90	141	170	1
2021.03.10	157.15	157.20	154.15	154.50	139	159	1
2021.03.11	156.55	159.00	155.90	159.00	177	320	1
2021.03.12	157.50	158.40	156.70	158.20	62	92	1
2021.03.15	159.30	159.50	155.85	156.80	48	94	1
2021.03.16	158.00	160.30	158.00	159.05	71	131	1
2021.03.17	157.95	158.00	156.90	157.10	99	166	1
2021.03.18	158.95	159.00	154.00	155.30	215	322	1
2021.03.19	155.25	155.75	153.50	155.00	183	258	1
2021.03.22	155.20	155.80	153.45	155.70	97	158	0
2021.03.23	154.00	155.80	152.50	153.10	145	242	0
2021.03.24	154.10	154.10	151.20	151.60	164	341	0
2021.03.25	151.00	152.25	149.90	151.50	196	1293	0
2021.03.26	153.50	153.70	151.70	152.50	78	201	0
2021.03.29	152.00	152.90	151.45	152.00	84	142	0
2021.03.30	150.50	151.70	148.00	148.00	207	303	0
2021.03.31	148.05	151.50	146.10	151.30	180	263	0
2021.04.01	150.35	150.35	146.15	147.65	151	223	0
2021.04.05	148.90	148.90	145.75	147.75	55	92	0
2021.04.06	148.40	151.65	147.50	151.40	156	267	0
2021.04.07	151.00	153.35	151.00	152.00	76	131	0
2021.04.08	153.10	154.00	152.15	153.80	98	277	0
2021.04.09	153.50	154.00	151.25	151.80	140	303	0
2021.04.12	150.45	155.00	150.45	153.65	126	185	0
2021.04.13	153.00	155.95	153.00	155.70	247	377	0
2021.04.14	156.30	159.00	155.25	156.00	306	476	0
2021.04.15	156.30	158.00	156.00	157.00	157	326	0
2021.04.16	157.90	158.45	154.00	155.35	250	354	0
